,t_es,t_via,via,civ,cod_via,zd,sup_alt,sup_lav
995,Centro Benessere;Centro Massaggi,Via,CECILIO STAZIO,18,2280,2,18.0,38.0
996,Parrucchiere per Uomo;Parrucchiere per Donna,Via,LUIGI PASTEUR,6,2283,2,5.0,31.5
997,Acconciatore,Via,DEI TRANSITI,1,2284,2,6.0,35.0
998,Parrucchiere per Uomo;Parrucchiere per Donna,Via,DEI TRANSITI,27,2284,2,5.0,33.0
999,Parrucchiere per Donna,Via,GUIDO CAVALCANTI,1,2286,2,4.0,53.0
1000,Parrucchiere per Donna,Via,NINO OXILIA,11,2287,2,4.0,25.0
1001,Tipo A - Estetica Manuale,Via,NINO OXILIA,11,2287,2,6.0,24.0
1002,Centro Massaggi,Via,LUIGI VARANINI,12,2288,2,12.0,63.0
1003,Parrucchiere per Donna,Via,LUIGI VARANINI,12,2288,2,4.0,35.0
1004,Parrucchiere per Uomo;Parrucchiere per Donna,Via,LUIGI VARANINI,26,2288,2,5.0,46.0
1005,Parrucchiere per Uomo,Via,LUIGI VARANINI,3,2288,2,5.0,20.0
1006,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Piazza,MORBEGNO,3,2289,2,27.0,49.0
1007,Parrucchiere per Uomo,Piazza,MORBEGNO,5,2289,2,5.0,22.0
1008,Parrucchiere per Donna,Via,MARTIRI OSCURI,3,2291,2,4.0,21.0
1009,Parrucchiere per Donna,Via,POPOLI UNITI,15,2293,2,4.0,36.0
1010,Acconciatore,Via,PIETRO CRESPI,13,2296,2,20.0,30.0
1012,Parrucchiere per Donna,Via,PIETRO CRESPI,17,2296,2,4.0,43.0
1013,Parrucchiere per Uomo,Via,TERMOPILI,29,2297,2,12.0,18.0
1014,Acconciatore,Via,MARCO AURELIO,8,2298,2,6.0,37.0
1015,Acconciatore,Via,ROGGIA SCAGNA,1,2299,2,6.0,30.0
1016,Tipo A - Estetica Manuale;Acconciatore,Via,ALESSANDRO MANZONI,16,230,1,6.5,55.0
1017,Centro Benessere,Via,ALESSANDRO MANZONI,31,230,1,3.5,7.0
1018,Acconciatore,Via,ALESSANDRO MANZONI,39,230,1,6.0,70.0
1019,Parrucchiere per Uomo,Via,ROVERETO,11,2300,2,5.0,36.0
1020,Parrucchiere per Donna,Via,ROVERETO,12,2300,2,4.0,31.0
1021,Parrucchiere per Donna,Via,VAL GARDENA,25,2304,2,4.0,38.0
1022,Parrucchiere per Donna,Via,FRATELLI LUMIERE,2,2308,2,12.0,22.0
1023,Parrucchiere per Donna,Via,GIUSEPPE GIACOSA,50,2310,2,4.0,16.0
1024,Tipo A - Estetica Manuale,Via,GIUSEPPE GIACOSA,57,2310,2,8.0,42.0
1025,Acconciatore,Via,BOLZANO,6,2312,2,10.0,20.0
1026,Parrucchiere per Donna,Via,CHIOGGIA,1,2317,2,4.0,27.0
1027,Tipo A - Estetica Manuale,Via,CHIOGGIA,1,2317,2,6.0,45.0
1028,Parrucchiere per Donna,Via,POLICARPO PETROCCHI,2,2320,2,2.0,36.0
1029,Acconciatore,Via,POLICARPO PETROCCHI,21,2320,2,6.0,55.0
1030,Centro Massaggi,Via,POLICARPO PETROCCHI,21,2320,2,14.0,42.5
1031,Parrucchiere per Uomo;Tipo A - Estetica Manuale,Via,POLICARPO PETROCCHI,21,2320,2,4.0,33.0
1032,Parrucchiere per Donna,Via,DELLA TORRE,1,2322,2,4.0,31.0
1033,Centro Massaggi,Via,DELLA TORRE,34,2322,2,14.0,42.5
1034,Parrucchiere per Donna,Via,DELLA TORRE,9,2322,2,4.0,26.0
1035,Acconciatore,Via,MATTEO MARIA BOIARDO,22,2323,2,6.0,29.0
1037,Centro Benessere,Via,DEI VALTORTA,22,2324,2,3.5,156.0
1038,Parrucchiere per Donna,Via,ELEONORA FONSECA PIMENTEL,18,2325,2,13.0,24.0
1039,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Via,ELEONORA FONSECA PIMENTEL,18,2325,2,27.0,49.0
1040,Parrucchiere per Uomo,Via,VINCENZO RUSSO,17,2328,2,5.0,20.0
1041,Parrucchiere per Donna,Via,VINCENZO RUSSO,8,2328,2,4.0,38.0
1043,Parrucchiere per Uomo;Parrucchiere per Donna,Piazzale,GOVERNO PROVVISORIO,6,2331,2,5.0,17.0
1044,Parrucchiere per Uomo,Via,GEROLAMO ROVETTA,19,2333,2,6.0,18.0
1045,Parrucchiere per Donna,Via,DOLOMITI,11,2334,2,4.0,31.0
1046,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Via,FRANCESCO CAVEZZALI,11,2335,2,27.0,49.0
1047,Centro Benessere,Via,STAMIRA D'ANCONA,27,2337,2,3.5,45.0
1048,Parrucchiere per Donna,Via,TERENZIO MAMIANI,10,2338,2,4.0,31.0
1049,Tipo A - Estetica Manuale,Largo,CORSIA DEI SERVI,11,234,1,6.0,45.0
1050,Parrucchiere per Uomo,Via,ERNESTO BREDA,44,2342,2,5.0,20.0
1051,Parrucchiere per Donna,Via,BERNARDO RUCELLAI,12,2345,2,4.0,24.0
1052,Parrucchiere per Donna,Via,BERNARDO RUCELLAI,50,2345,2,4.0,31.0
1053,Parrucchiere per Uomo;Tipo A - Estetica Manuale,Via,SANT'ERLEMBALDO,1,2356,2,10.0,28.0
1054,Parrucchiere per Donna,Via,LUIGI BERTELLI,2A,2358,2,4.0,30.0
1055,Tipo A - Estetica Manuale;Parrucchiere per Donna,Via,SENATO,13,236,1,17.0,53.0
1056,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale;Parrucchiere per Donna,Via,SENATO,15,236,1,18.0,47.0
1057,Parrucchiere per Donna,Via,SENATO,2,236,1,4.0,131.0
1058,Tipo A - Estetica Manuale,Via,SENATO,5,236,1,6.0,50.0
1060,Esecuzione di Tatuaggi e Piercing,Via,PAOLO PARUTA,66,2363,2,25.0,39.0
1061,Centro Massaggi,Via,FANFULLA DA LODI,2,2364,2,14.0,43.0
1062,Acconciatore,Via,GIORGIO CHAVEZ,1,2365,2,6.0,37.0
1063,Parrucchiere per Donna,Via,ARQUA',14,2366,2,8.0,16.0
1064,Parrucchiere per Donna,Via,CARLO ESTERLE,29,2368,2,4.0,26.0
1065,Parrucchiere per Uomo;Tipo A - Estetica Manuale,Via,ATENE,6,2371,2,10.0,32.0
1066,Tipo B - Centro di Abbronzatura;Tipo C - Trattamenti Estetici Dimagrimento;Tipo A - Estetica Manuale;Parrucchiere per Donna,Via,ANACREONTE,1,2372,2,12.5,50.0
1067,Parrucchiere per Uomo,Via,BENGASI,2,2375,2,12.0,20.0
1068,Parrucchiere per Donna,Via,DERNA,1,2376,2,4.0,37.0
1069,Tipo A - Estetica Manuale;Parrucchiere per Donna,Via,DERNA,13,2376,2,17.0,52.0
1070,Acconciatore,Via,DERNA,9,2376,2,6.0,46.0
1071,Parrucchiere per Donna,Viale,DON LUIGI ORIONE,14,2378,2,4.0,28.0
1072,Parrucchiere per Donna,Viale,DON LUIGI ORIONE,21,2378,2,4.0,31.0
1073,Parrucchiere per Uomo,Corso,VENEZIA,13,238,1,5.0,20.0
1074,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Corso,VENEZIA,14,238,1,27.0,49.0
1075,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Corso,VENEZIA,15,238,1,27.0,49.0
1076,Parrucchiere per Donna,Corso,VENEZIA,3,238,1,4.0,110.0
1077,Tipo A - Estetica Manuale,Corso,VENEZIA,3,238,1,6.0,52.0
1078,Parrucchiere per Donna,Corso,VENEZIA,33,238,1,4.0,62.0
1079,Parrucchiere per Donna,Corso,VENEZIA,35,238,1,4.0,31.0
1080,Acconciatore,Corso,VENEZIA,8,238,1,14.0,81.0
1081,Centro Massaggi,Via,BENADIR,14,2380,2,14.0,104.0
1082,Tipo C - Trattamenti Estetici Dimagrimento;Tipo A - Estetica Manuale;Tipo D - Estetica Apparati Elettromeccanici,Via,PADRE PLACIDO RICCARDI,19,2385,2,13.0,18.0
1083,Acconciatore,Via,PADRE PLACIDO RICCARDI,23,2385,2,6.0,37.0
1084,Parrucchiere per Donna,Via,MADRE ANNA EUGENIA PICCO,8,2386,2,4.0,22.0
1085,Parrucchiere per Donna,Via,GIUBA,28,2387,2,4.0,28.0
1086,Centro Massaggi,Via,RUGGERO LEONCAVALLO,12,2389,3,25.0,18.0
1087,Parrucchiere per Donna,Via,RUGGERO LEONCAVALLO,33,2389,2,6.0,28.0
1088,Tipo A - Estetica Manuale,Via,PALMANOVA,127,2390,2,6.0,24.0
1089,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale;Acconciatore,Via,PALMANOVA,143,2390,2,20.0,73.0
1090,Parrucchiere per Uomo,Via,PALMANOVA,147,2390,2,10.0,22.0
1091,Centro Massaggi,Via,PALMANOVA,28,2390,3,14.0,68.0
1092,Parrucchiere per Donna,Via,PALMANOVA,30,2390,3,4.0,33.0
1093,Centro Massaggi;Centro Benessere,Via,PALMANOVA,54,2390,3,6.0,35.0
1094,Parrucchiere per Uomo,Via,PALMANOVA,56,2390,3,19.0,22.0
1095,Acconciatore,Via,PALMANOVA,67,2390,2,6.0,50.0
1097,Parrucchiere per Donna,Via,PALMANOVA,81,2390,2,4.0,31.0
1098,Parrucchiere per Donna,Via,CARNIA,31,2395,3,4.0,29.0
1099,Parrucchiere per Donna,Via,CARNIA,7,2395,3,4.0,27.0
1100,Acconciatore,Via,CRESCENZAGO,13,2396,3,2.0,20.0
1101,Parrucchiere per Donna,Via,CRESCENZAGO,28,2396,3,4.0,24.0
1102,Centro Massaggi,Via,CRESCENZAGO,34,2396,3,17.0,70.0
1103,Acconciatore,Via,CRESCENZAGO,36,2396,3,6.0,26.0
1104,Acconciatore,Via,LUCIO GIUNIO COLUMELLA,40,2399,2,6.0,37.0
1105,Tipo A - Estetica Manuale,Viale,LOMBARDIA,20,2400,3,6.0,36.0
1106,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale;Acconciatore,Viale,LOMBARDIA,25,2400,3,20.0,73.0
1107,Parrucchiere per Donna,Viale,LOMBARDIA,32,2400,3,4.0,31.0
1108,Centro Benessere,Viale,LOMBARDIA,63,2400,3,3.5,29.0
1109,Acconciatore,Viale,LOMBARDIA,65,2400,3,6.0,37.0
1110,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Via,PINDARO,23,2401,2,27.0,122.0
1111,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale;Acconciatore,Via,ADRIANO,100,2410,2,20.0,123.0
1112,Parrucchiere per Donna,Via,ADRIANO,94,2410,2,4.0,31.0
1113,Parrucchiere per Donna,Via,GIUSEPPE PELITTI,2,2412,2,3.0,30.0
1114,Parrucchiere per Uomo;Parrucchiere per Donna,Via,SAN MAMETE,15,2413,2,5.0,34.0
1115,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Via,SAN MAMETE,15,2413,2,27.0,49.0
1116,Parrucchiere per Uomo,Via,SAN MAMETE,3,2413,2,4.0,25.0
1117,Parrucchiere per Donna,Via,CASORETTO,1,2420,3,4.0,42.0
1118,Parrucchiere per Donna,Via,CASORETTO,37,2420,3,4.0,31.0
1119,Parrucchiere per Uomo,Via,CASORETTO,43,2420,3,5.0,20.0
1120,Parrucchiere per Uomo,Via,CASORETTO,5,2420,3,6.0,22.0
1121,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale;Parrucchiere per Donna,Via,CASORETTO,60,2420,3,18.0,47.0
1122,Parrucchiere per Donna,Via,CASORETTO,7,2420,3,4.0,37.0
1123,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Via,CASORETTO,8,2420,3,27.0,49.0
1124,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Via,LAMBRATE,24,2421,3,27.0,33.0
1125,Parrucchiere per Donna,Via,LAMBRATE,5,2421,3,5.0,28.0
1126,Parrucchiere per Uomo;Parrucchiere per Donna,Via,ALFREDO CATALANI,35,2425,3,5.0,30.0
1127,Tipo B - Centro di Abbronzatura;Tipo C - Trattamenti Estetici Dimagrimento;Tipo A - Estetica Manuale;Tipo D - Estetica Apparati Elettromeccanici,Via,ALFREDO CATALANI,35,2425,3,24.0,49.0
1128,Parrucchiere per Donna,Via,ANTONIO BAZZINI,27,2427,3,4.0,32.0
1129,Parrucchiere per Donna,Via,ANDRE' MARIE AMPERE,103,2428,3,4.0,30.0
1130,Centro Massaggi,Via,ANDRE' MARIE AMPERE,120,2428,3,14.0,42.5
1131,Acconciatore,Via,ANDRE' MARIE AMPERE,123,2428,3,1.0,32.0
1132,Parrucchiere per Donna,Via,ANDRE' MARIE AMPERE,65,2428,3,3.0,16.0
1133,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Via,ACCADEMIA,23,2429,3,27.0,40.0
1134,Parrucchiere per Donna,Via,DELLA SILA,4,2433,3,4.0,31.0
1135,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Via,VIPACCO,4,2444,2,27.0,49.0
1136,Parrucchiere per Donna,Via,VIPACCO,6,2444,2,4.0,31.0
1137,Parrucchiere per Donna,Via,GALENO,6,2447,2,2.0,30.0
1138,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Via,GALENO,6,2447,2,19.0,27.0
1139,Parrucchiere per Donna,Via,SANT'UGUZZONE,21,2448,2,4.0,28.0
1140,Parrucchiere per Donna,Via,APELLE,20,2454,2,4.0,31.0
1141,Parrucchiere per Donna,Via,ASIAGO,116,2459,2,4.0,29.0
1142,Parrucchiere per Donna,Via,ASIAGO,68,2459,2,4.0,52.0
1143,Tipo A - Estetica Manuale,Via,ASTICO,18,2462,2,6.0,32.0
1144,Parrucchiere per Uomo;Parrucchiere per Donna,Via,GOLFO DEGLI ARANCI,15,2463,2,3.0,31.0
1145,Parrucchiere per Uomo,Via,CESARE ARICI,1,2464,2,5.0,18.0
1146,Parrucchiere per Donna,Via,CESARE ARICI,3,2464,2,4.0,15.0
1147,Parrucchiere per Uomo,Via,PAOLO GEROLAMO BIUMI,16,2465,2,5.0,30.0
1148,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Via,PAOLO GEROLAMO BIUMI,16,2465,2,27.0,49.0
1149,Acconciatore,Via,PAOLO GEROLAMO BIUMI,18,2465,2,5.0,28.0
1150,Parrucchiere per Donna,Via,GIROLAMO FRACASTORO,1,2471,2,4.0,20.0
1151,Parrucchiere per Donna,Via,MONTE SAN GABRIELE,10,2481,2,4.0,15.0
1152,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Via,MONTE SAN GABRIELE,11,2481,2,27.0,49.0
1153,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale;Acconciatore,Via,MINTURNO,1,2482,2,20.0,65.0
1154,Acconciatore,Via,PIRANO,4,2483,2,6.0,65.0
1155,Acconciatore,Via,PONTE VECCHIO,4,2487,2,6.0,37.0
1156,Parrucchiere per Donna,Via,ARISTOTELE,15,2488,2,4.0,18.0
1157,Parrucchiere per Donna,Via,ARISTOTELE,39,2488,2,4.0,31.0
1158,Parrucchiere per Donna,Via,ARISTOTELE,67,2488,2,2.0,43.0
1160,Tipo A - Estetica Manuale,Via,POMPEO MARIANI,4,2490,2,6.0,26.0
1161,Parrucchiere per Uomo,Via,PONTE NUOVO,26,2494,2,4.0,14.0
1162,Parrucchiere per Uomo;Parrucchiere per Donna,Via,PONTE NUOVO,48,2494,2,5.0,31.5
1163,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale;Parrucchiere per Donna,Via,PONTE NUOVO,5,2494,2,18.0,47.0
1164,Tipo B - Centro di Abbronzatura;Tipo C - Trattamenti Estetici Dimagrimento;Tipo A - Estetica Manuale;Tipo D - Estetica Apparati Elettromeccanici,Via,PONTE NUOVO,8,2494,2,24.0,15.0
1165,Centro Massaggi,Via,DEL RICORDO,1,2496,2,14.0,42.5
1166,Acconciatore,Via,DEL RICORDO,57,2496,2,6.0,30.0
1167,Tipo B - Centro di Abbronzatura;Tipo C - Trattamenti Estetici Dimagrimento;Tipo A - Estetica Manuale;Tipo D - Estetica Apparati Elettromeccanici,Via,DEL RICORDO,57,2496,2,24.0,49.0
1168,Acconciatore,Via,ANTONIO MEUCCI,11,2497,2,6.0,50.0
1169,Parrucchiere per Donna,Via,ANTONIO MEUCCI,2,2497,2,4.0,34.0
1171,Acconciatore,Via,ANTONIO MEUCCI,70,2497,2,6.0,28.0
1172,Parrucchiere per Uomo,Via,MARIO PIERI,2,2513,2,5.0,20.0
1173,Parrucchiere per Uomo;Parrucchiere per Donna,Via,MONDOVI',4,2515,2,5.0,23.0
1174,Parrucchiere per Uomo,Via,PAOLO TOSCANELLI DAL POZZO,1,2516,2,10.0,18.0
1175,Tipo A - Estetica Manuale;Centro Benessere,Via,ANGELO EMO,19,2518,2,4.0,52.0
1176,Acconciatore,Via,ANGELO EMO,2,2518,2,6.0,30.0
1177,Acconciatore,Via,GIOVANNI VERRAZZANO,1,2519,2,6.0,37.0
1178,Centro Benessere,Via,VITTORIO BOTTEGO,13,2521,2,5.0,90.0
1179,Acconciatore,Via,DOMENICO BERRA,3,2526,2,6.0,26.0
1180,Tipo C - Trattamenti Estetici Dimagrimento;Tipo A - Estetica Manuale,Via,DOMENICO BERRA,3,2526,2,2.0,35.0
1181,Parrucchiere per Uomo;Parrucchiere per Donna,Via,OLGETTINA,60,2530,3,5.0,31.5
1182,Tipo A - Estetica Manuale,Via,OLGETTINA,65,2530,3,6.0,50.0
1183,Parrucchiere per Donna,Via,MONFALCONE,34,2538,3,4.0,25.0
1184,Parrucchiere per Donna,Via,BRA',14,2542,3,3.0,11.0
1185,Acconciatore,Via,TEODOSIO,100,2550,3,6.0,37.0
1186,Acconciatore,Via,TEODOSIO,104,2550,3,6.0,25.0
1187,Tipo A - Estetica Manuale,Via,TEODOSIO,18,2550,3,6.0,36.0
1188,Parrucchiere per Donna,Via,TEODOSIO,20,2550,3,3.0,30.0
1189,Parrucchiere per Donna,Via,TEODOSIO,33,2550,3,4.0,31.0
1190,Tipo A - Estetica Manuale,Via,TEODOSIO,33,2550,3,6.0,45.0
1191,Tipo C - Trattamenti Estetici Dimagrimento;Tipo A - Estetica Manuale,Via,TEODOSIO,37,2550,3,2.0,35.0
1192,Parrucchiere per Uomo;Parrucchiere per Donna,Via,TEODOSIO,56,2550,3,5.0,31.5
1193,Tipo A - Estetica Manuale;Parrucchiere per Donna,Via,TEODOSIO,6,2550,3,17.0,23.0
1194,Tipo A - Estetica Manuale,Via,TEODOSIO,60,2550,3,6.0,91.0
1195,Acconciatore,Via,TEODOSIO,74,2550,3,6.0,37.0
1196,Tipo A - Estetica Manuale,Via,TEODOSIO,80,2550,3,6.0,33.0
1197,Tipo A - Estetica Manuale,Via,TEODOSIO,82,2550,3,6.0,43.0
1198,Centro Massaggi,Via,TEODOSIO,83,2550,3,14.0,77.0
1199,Parrucchiere per Donna,Via,EUGENIO CAMERINI,7,2551,3,7.0,55.0
1200,Parrucchiere per Uomo;Parrucchiere per Donna,Via,EUGENIO CARPI,4,2557,3,5.0,34.0
1201,Parrucchiere per Donna,Via,FRANCESCO INGEGNOLI,2,2559,3,4.0,20.0
1202,Tipo A - Estetica Manuale,Via,MONTE NEVOSO,1,2560,3,6.0,50.0
1203,Tipo B - Centro di Abbronzatura;Tipo C - Trattamenti Estetici Dimagrimento;Tipo A - Estetica Manuale;Tipo D - Estetica Apparati Elettromeccanici,Via,GIAN BATTISTA BROCCHI,19,2562,3,24.0,41.0
1204,Tipo A - Estetica Manuale,Via,GIAN BATTISTA BROCCHI,7A,2562,3,6.0,37.0
1205,Parrucchiere per Donna,Via,GUIDO GOZZANO,4,2563,3,4.0,58.0
1206,Parrucchiere per Donna,Via,DESIDERIO,28,2565,3,4.0,22.0
1207,Acconciatore,Via,GIOVANNI BOTTESINI,7,2567,3,6.0,45.0
1208,Acconciatore,Via,VIMINALE,8,2568,3,6.0,37.0
1209,Acconciatore,Via,ANTONIO SALIERI,3,2569,3,6.0,37.0
1210,Tipo A - Estetica Manuale;Acconciatore,Via,GIOVANNI PACINI,15,2571,3,6.5,36.0
1212,Parrucchiere per Donna,Via,GIOVANNI PACINI,22,2571,3,4.0,34.0
1213,Tipo B - Centro di Abbronzatura;Tipo C - Trattamenti Estetici Dimagrimento;Tipo A - Estetica Manuale,Via,GIOVANNI PACINI,22,2571,3,2.0,72.0
1214,Acconciatore,Via,GIOVANNI PACINI,25,2571,3,6.0,65.0
1215,Parrucchiere per Uomo,Via,GIOVANNI PACINI,33,2571,3,5.0,17.0
1216,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale;Acconciatore,Via,GIOVANNI PACINI,34,2571,3,20.0,73.0
1217,Parrucchiere per Donna,Via,GIOVANNI PACINI,50,2571,3,6.0,40.0
1218,Acconciatore,Via,GIOVANNI PACINI,54,2571,3,6.0,65.0
1219,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Via,GIOVANNI PACINI,58,2571,3,27.0,49.0
1220,Parrucchiere per Donna,Via,GIOVANNI PACINI,70,2571,3,1.0,47.0
1221,Acconciatore,Via,AVERARDO BUSCHI,20,2575,3,6.0,32.0
1222,Parrucchiere per Donna,Via,AVERARDO BUSCHI,25,2575,3,4.0,18.0
1223,Parrucchiere per Donna,Via,ANTONIO GROSSICH,11,2576,3,4.0,35.0
1224,Parrucchiere per Uomo;Parrucchiere per Donna,Via,ANTONIO GROSSICH,17,2576,3,3.0,36.0
1225,Parrucchiere per Uomo;Parrucchiere per Donna,Via,ANTONIO GROSSICH,2,2576,3,5.0,26.0
1226,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Via,ANTONIO GROSSICH,2,2576,3,27.0,30.0
1227,Parrucchiere per Donna,Via,GIUSEPPE BARDELLI,12,2578,3,4.0,18.0
1228,Tipo A - Estetica Manuale,Via,DEGLI OROMBELLI,15,2579,3,6.0,45.0
1229,Tipo A - Estetica Manuale,Via,DEGLI OROMBELLI,18,2579,3,6.0,52.0
1230,Tipo B - Centro di Abbronzatura;Tipo C - Trattamenti Estetici Dimagrimento;Tipo A - Estetica Manuale,Via,GIOVANNI BATTISTA VIOTTI,25,2581,3,2.5,55.0
1231,Parrucchiere per Donna,Via,CESARE BERUTO,13,2586,3,4.0,35.0
1232,Parrucchiere per Uomo,Via,EDOARDO BASSINI,41,2587,3,5.0,19.0
1233,Parrucchiere per Uomo,Via,EDOARDO BASSINI,45,2587,3,5.0,17.0
1234,Parrucchiere per Donna,Via,LISCATE,2,2595,2,4.0,29.0
1235,Parrucchiere per Donna,Via,MARTINO LUTERO,4,2613,2,4.0,17.0
1236,Parrucchiere per Uomo,Largo,TEL AVIV,5,2639,2,5.0,24.0
1237,Tipo A - Estetica Manuale,Largo,TEL AVIV,5,2639,2,2.0,23.0
1238,Acconciatore,Via,MESTRE,7,2647,3,6.0,50.0
1239,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Via,MESTRE,7,2647,3,27.0,50.0
1240,Acconciatore,Via,PORDENONE,1,2650,3,6.0,58.0
1241,Parrucchiere per Donna,Via,PORDENONE,13,2650,3,5.0,44.0
1242,Tipo A - Estetica Manuale,Via,PORDENONE,28,2650,3,6.0,45.0
1243,Parrucchiere per Donna,Via,PORDENONE,28,2650,3,4.0,48.0
1244,Tipo A - Estetica Manuale,Via,PORDENONE,8,2650,3,6.0,45.0
1245,Tipo C - Trattamenti Estetici Dimagrimento;Tipo A - Estetica Manuale;Tipo D - Estetica Apparati Elettromeccanici,Via,FELTRE,1,2652,3,13.0,32.0
1246,Parrucchiere per Donna,Via,FELTRE,27,2652,3,4.0,39.0
1247,Tipo A - Estetica Manuale,Via,PLEZZO,16,2653,3,6.0,45.0
1248,Parrucchiere per Uomo,Via,RONCHI,11,2655,3,3.0,18.0
1249,Parrucchiere per Donna,Via,RONCHI,35,2655,3,4.0,26.0
1250,Acconciatore,Via,RONCHI,39,2655,3,6.0,20.0
1251,Tipo C - Trattamenti Estetici Dimagrimento;Tipo A - Estetica Manuale,Via,RONCHI,39,2655,3,2.0,35.0
1252,Parrucchiere per Uomo;Parrucchiere per Donna,Via,DURAZZO,5,2658,3,5.0,31.5
1253,Tipo A - Estetica Manuale,Via,DURAZZO,5,2658,3,6.0,45.0
1254,Acconciatore,Via,ROMBON,23,2659,3,6.0,55.0
1256,Parrucchiere per Donna,Via,ROMBON,38,2659,3,4.0,34.0
1257,Parrucchiere per Uomo,Via,ROMBON,38,2659,3,5.0,20.0
1258,Parrucchiere per Donna,Via,ROMBON,44,2659,3,2.0,37.0
1259,Acconciatore,Via,CARLO BERTOLAZZI,20,2662,3,6.0,37.0
1260,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Viale,DELLE RIMEMBRANZE DI LAMBRATE,9,2664,3,27.0,41.0
1261,Parrucchiere per Donna;Tipo A - Estetica Manuale;Tipo D - Estetica Apparati Elettromeccanici;Tipo C - Trattamenti Estetici Dimagrimento;Tipo B - Centro di Abbronzatura,Via,CONTE ROSSO,10,2667,3,1.0,40.0
1262,Parrucchiere per Uomo,Via,CONTE ROSSO,22,2667,3,9.0,16.0
1263,Parrucchiere per Uomo,Via,RICCARDO PITTERI,3,2674,3,5.0,29.0
1264,Acconciatore,Via,SAN FAUSTINO,27,2681,3,6.0,37.0
1265,Parrucchiere per Donna,Via,SAN FAUSTINO,8,2681,3,4.0,53.0
1266,Acconciatore,Via,SILVIO ZAMBALDI,1,2689,3,4.0,25.0
1267,Acconciatore,Piazzale,MARTESANA,4,2707,2,6.0,37.0
1268,Acconciatore,Piazza,VIGILI DEL FUOCO,8,2710,3,6.0,37.0
1269,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Via,PASSARELLA,4,298,1,27.0,49.0
1270,Tipo A - Estetica Manuale,Sito,DELLA GUASTALLA,3,3015,1,6.0,45.0
1271,Tipo A - Estetica Manuale,Corso,DI PORTA VITTORIA,12,3016,1,6.0,40.0
1272,Tipo A - Estetica Manuale;Acconciatore,Corso,DI PORTA VITTORIA,13,3016,1,6.5,55.0
1273,Acconciatore,Corso,DI PORTA VITTORIA,32,3016,1,6.0,49.0
1274,Tipo A - Estetica Manuale,Corso,DI PORTA VITTORIA,32,3016,1,6.0,49.0
1275,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Corso,DI PORTA VITTORIA,42,3016,1,27.0,60.0
1276,Tipo A - Estetica Manuale;Acconciatore,Corso,DI PORTA VITTORIA,5,3016,1,6.5,55.0
1277,Acconciatore,Corso,DI PORTA VITTORIA,54,3016,1,6.0,25.0
1278,Tipo A - Estetica Manuale,Corso,DI PORTA VITTORIA,54,3016,1,6.0,45.0
1279,Acconciatore,Corso,DI PORTA VITTORIA,58,3016,1,6.0,53.0
1280,Acconciatore,Corso,DI PORTA VITTORIA,8,3016,1,6.0,28.0
1281,Tipo B - Centro di Abbronzatura;Tipo A - Estetica Manuale,Corso,DI PORTA VITTORIA,8,3016,1,27.0,32.0
1282,Acconciatore,Via,CESARE BATTISTI,21,3019,1,6.0,37.0
1283,Parrucchiere per Uomo;Parrucchiere per Donna,Via,CESARE BATTISTI,8,3019,1,5.0,56.0
1284,Parrucchiere per Uomo;Parrucchiere per Donna,Via,FILIPPO CORRIDONI,6,3020,1,5.0,31.5
1285,Tipo A - Estetica Manuale,Via,POMPEO LITTA,2,3029,1,6.0,53.0
1286,Parrucchiere per Donna,Galleria,PASSARELLA,1,303,1,4.0,78.0
1287,Parrucchiere per Donna,Galleria,PASSARELLA,2,303,1,4.0,70.0
1288,Parrucchiere per Uomo,Via,GAETANO DONIZETTI,2,3030,1,5.0,40.0
